route_id,route_week,split,row_count,delivery_stop_count
870,1,training,17,16
871,1,training,15,14
873,1,training,14,13
874,1,training,11,10
875,1,training,16,15
876,1,training,14,13
877,1,training,11,10
878,1,training,16,15
881,1,training,16,15
882,1,training,12,11
884,1,training,14,13
885,1,training,24,23
886,1,training,14,13
887,1,training,14,13
888,1,training,13,12
890,1,training,12,11
891,1,training,16,15
892,1,training,12,11
893,1,training,16,15
894,1,training,16,15
895,1,training,27,26
897,1,training,18,17
899,1,training,13,12
903,1,training,15,14
904,1,training,15,14
905,1,training,12,11
906,1,training,11,10
907,1,training,12,11
909,1,training,18,17
910,1,training,12,11
913,1,training,18,17
914,1,training,16,15
916,1,training,15,14
917,1,training,18,17
921,1,training,14,13
922,1,training,17,16
923,1,training,17,16
925,1,training,19,18
928,1,training,11,10
930,1,training,11,10
931,1,training,11,10
933,1,training,13,12
936,1,training,14,13
940,1,training,14,12
942,1,training,16,15
943,1,training,15,14
947,1,training,12,11
948,1,training,12,11
952,1,training,21,20
955,1,training,16,15
956,1,training,13,12
957,1,training,11,10
964,1,training,12,11
969,1,training,16,15
970,1,training,15,14
974,1,training,14,13
978,1,training,15,14
987,1,training,15,14
989,1,training,14,13
990,1,training,15,14
992,2,training,14,13
993,2,training,17,16
994,2,training,20,19
995,2,training,16,15
996,2,training,12,11
997,2,training,19,18
999,2,training,14,13
1001,2,training,20,19
1002,2,training,18,17
1003,2,training,12,11
1004,2,training,16,15
1005,2,training,13,12
1006,2,training,18,17
1008,2,training,20,19
1009,2,training,21,20
1010,2,training,11,10
1011,2,training,26,25
1012,2,training,18,17
1016,2,training,19,18
1019,2,training,12,11
1020,2,training,15,14
1021,2,training,14,13
1022,2,training,13,12
1023,2,training,17,16
1025,2,training,12,11
1028,2,training,18,17
1030,2,training,24,23
1031,2,training,19,18
1034,2,training,11,10
1035,2,training,20,19
1037,2,training,13,12
1041,2,training,21,20
1042,2,training,16,15
1044,2,training,14,13
1045,2,training,15,14
1049,2,training,13,12
1052,2,training,21,20
1053,2,training,14,13
1054,2,training,19,18
1056,2,training,15,14
1057,2,training,11,10
1058,2,training,17,16
1059,2,training,17,15
1074,2,training,15,14
1079,2,training,13,12
1087,2,training,14,13
1097,2,training,13,12
1098,2,training,12,11
1099,2,training,16,15
1100,2,training,13,12
1102,2,training,15,14
1103,2,training,13,12
1104,2,training,16,15
1108,2,training,14,13
1109,2,training,19,18
1111,2,training,13,12
1113,2,training,21,20
1114,2,training,16,15
1116,2,training,15,14
1117,2,training,14,13
1119,2,training,15,14
1120,2,training,14,13
1125,2,training,14,13
1127,2,training,20,18
1128,2,training,14,13
1135,2,training,20,19
1137,2,training,20,19
1138,2,training,16,15
1141,2,training,20,19
1142,2,training,25,23
1143,2,training,14,13
1145,2,training,17,16
1147,2,training,13,12
1149,2,training,17,16
1150,2,training,13,12
1151,2,training,16,15
1156,2,training,24,23
1160,2,training,12,11
1169,2,training,15,13
1179,2,training,15,14
1180,2,training,14,10
1181,2,training,15,14
1200,2,training,12,11
1204,2,training,12,11
1208,2,training,11,10
1212,2,training,17,16
1213,2,training,11,10
1214,2,training,12,11
1216,2,training,23,22
1217,2,training,12,11
1218,2,training,17,16
1219,2,training,17,16
1221,2,training,14,13
1223,2,training,13,12
1224,2,training,12,11
1225,2,training,12,11
1226,2,training,13,12
1227,2,training,12,11
1228,2,training,14,13
1229,2,training,14,13
1230,2,training,16,15
1232,2,training,11,10
1233,2,training,11,10
1235,2,training,15,14
1236,2,training,13,12
1237,2,training,15,14
1238,2,training,14,13
1239,2,training,14,13
1241,2,training,11,10
1242,2,training,19,18
1245,2,training,11,10
1246,2,training,11,10
1248,2,training,15,14
1249,2,training,13,12
1250,2,training,14,13
1253,2,training,13,12
1257,2,training,11,10
1262,2,training,15,14
1263,2,training,14,13
1264,2,training,14,13
1266,2,training,12,11
1272,2,training,11,10
1279,2,training,14,13
1288,2,training,14,13
1294,2,training,12,11
1298,2,training,14,13
1308,2,training,15,14
1317,2,training,14,13
1320,2,training,14,13
1321,2,training,15,14
1323,2,training,13,12
1324,2,training,17,16
1325,2,training,14,13
1327,2,training,20,19
1328,2,training,21,20
1329,2,training,16,15
1330,2,training,14,13
1331,2,training,13,12
1332,2,training,14,13
1334,2,training,13,12
1335,2,training,11,10
1336,2,training,13,12
1337,2,training,12,11
1338,2,training,13,12
1339,2,training,18,17
1340,2,training,18,17
1342,2,training,17,16
1343,2,training,11,10
1346,2,training,14,13
1348,2,training,19,18
1349,2,training,18,17
1350,2,training,14,13
1353,2,training,15,14
1354,2,training,21,20
1355,2,training,15,14
1362,2,training,24,23
1366,2,training,12,11
1371,2,training,12,11
1372,2,training,13,12
1375,2,training,18,17
1376,2,training,20,19
1378,2,training,12,11
1383,2,training,21,20
1386,2,training,11,10
1395,2,training,11,10
1398,2,training,12,10
1399,2,training,15,13
1420,2,training,11,10
1422,2,training,12,11
1423,2,training,11,10
1424,2,training,13,12
1427,2,training,11,10
1433,2,training,15,14
1434,2,training,11,10
1436,2,training,13,12
1437,2,training,16,15
1438,2,training,13,12
1439,2,training,14,13
1440,2,training,13,12
1441,2,training,15,14
1442,2,training,13,12
1443,2,training,18,17
1444,2,training,17,16
1446,2,training,13,12
1447,2,training,14,13
1448,2,training,13,12
1450,2,training,11,10
1451,2,training,14,13
1452,2,training,18,17
1454,2,training,13,12
1456,2,training,18,17
1459,2,training,13,12
1465,2,training,16,15
1466,2,training,13,12
1471,2,training,15,14
1472,2,training,13,12
1473,2,training,16,15
1475,2,training,16,15
1476,2,training,11,10
1477,2,training,15,14
1481,2,training,16,15
1483,2,training,14,13
1484,2,training,17,16
1486,2,training,13,12
1487,2,training,11,10
1489,2,training,18,17
1490,2,training,15,14
1491,2,training,19,18
1492,2,training,15,14
1493,2,training,17,16
1494,2,training,18,16
1496,2,training,13,11
1498,2,training,11,10
1499,2,training,12,11
1501,2,training,13,11
1503,2,training,13,12
1505,2,training,12,11
1507,2,training,13,12
1509,2,training,19,17
1512,2,training,11,10
1521,2,training,11,10
1533,2,training,12,11
1535,2,training,15,14
1536,2,training,11,10
1539,2,training,17,16
1540,2,training,15,14
1541,2,training,12,11
1545,3,training,18,17
1546,3,training,18,17
1547,3,training,13,12
1548,3,training,19,18
1549,3,training,15,14
1550,3,training,19,18
1551,3,training,16,15
1552,3,training,19,18
1553,3,training,13,12
1554,3,training,25,24
1555,3,training,12,11
1556,3,training,13,12
1557,3,training,17,16
1558,3,training,17,16
1559,3,training,23,22
1560,3,training,16,15
1561,3,training,14,13
1562,3,training,14,13
1563,3,training,20,19
1564,3,training,22,21
1565,3,training,19,18
1566,3,training,15,14
1567,3,training,16,15
1568,3,training,15,14
1570,3,training,14,13
1571,3,training,13,12
1572,3,training,15,14
1573,3,training,15,14
1576,3,training,14,13
1577,3,training,19,18
1578,3,training,19,18
1580,3,training,12,11
1583,3,training,23,22
1586,3,training,12,11
1589,3,training,19,18
1591,3,training,17,16
1592,3,training,16,15
1596,3,training,12,10
1597,3,training,18,17
1600,3,training,11,10
1601,3,training,20,19
1602,3,training,11,10
1604,3,training,12,11
1605,3,training,15,14
1614,3,training,12,11
1615,3,training,12,11
1624,3,training,17,16
1630,3,training,12,11
1636,3,training,14,13
1639,3,training,15,14
1645,3,training,16,15
1648,3,training,14,13
1649,3,training,14,13
1650,3,training,14,13
1651,3,training,14,13
1652,3,training,11,10
1653,3,training,14,13
1654,3,training,15,14
1655,3,training,16,15
1656,3,training,17,16
1657,3,training,19,18
1658,3,training,16,15
1659,3,training,11,10
1660,3,training,18,17
1661,3,training,20,19
1663,3,training,14,13
1665,3,training,20,18
1666,3,training,14,13
1667,3,training,14,13
1668,3,training,13,12
1669,3,training,12,11
1671,3,training,19,18
1672,3,training,16,15
1673,3,training,14,13
1674,3,training,15,14
1675,3,training,11,10
1678,3,training,21,20
1680,3,training,16,15
1681,3,training,12,11
1684,3,training,12,11
1685,3,training,25,24
1688,3,training,17,16
1690,3,training,18,17
1691,3,training,18,17
1703,3,training,12,11
1708,3,training,13,12
1709,3,training,13,12
1713,3,training,13,12
1715,3,training,13,12
1716,3,training,13,12
1719,3,training,12,11
1722,3,training,16,15
1723,3,training,11,10
1725,3,training,11,10
1751,3,training,11,10
1754,3,training,11,10
1757,3,training,19,18
1758,3,training,21,20
1759,3,training,14,13
1760,3,training,13,12
1761,3,training,17,16
1763,3,training,16,15
1765,3,training,14,13
1766,3,training,17,16
1767,3,training,12,11
1768,3,training,11,10
1769,3,training,14,13
1774,3,training,17,16
1775,3,training,13,12
1776,3,training,23,22
1777,3,training,14,13
1780,3,training,14,13
1781,3,training,13,12
1782,3,training,16,15
1783,3,training,13,12
1784,3,training,16,15
1786,3,training,17,16
1787,3,training,14,13
1788,3,training,17,15
1789,3,training,16,15
1797,3,training,15,14
1801,3,training,11,10
1802,3,training,15,14
1806,3,training,13,12
1807,3,training,20,19
1808,3,training,13,12
1809,3,training,13,12
1810,3,training,12,11
1812,3,training,13,12
1815,3,training,12,11
1817,3,training,13,12
1819,3,training,17,16
1823,3,training,14,13
1825,3,training,11,10
1828,3,training,17,16
1834,3,training,12,11
1836,3,training,15,14
1857,3,training,11,10
1860,3,training,11,10
1866,3,training,14,13
1867,3,training,13,12
1868,3,training,12,11
1869,3,training,11,10
1870,3,training,15,14
1871,3,training,20,19
1872,3,training,15,14
1873,3,training,12,11
1875,3,training,11,10
1876,3,training,17,16
1877,3,training,12,11
1879,3,training,13,12
1880,3,training,11,10
1881,3,training,16,15
1882,3,training,19,18
1883,3,training,19,18
1887,3,training,12,11
1888,3,training,11,10
1889,3,training,11,10
1890,3,training,13,12
1891,3,training,15,14
1892,3,training,15,14
1896,3,training,15,14
1899,3,training,14,13
1900,3,training,21,20
1902,3,training,14,13
1903,3,training,12,11
1908,3,training,27,26
1910,3,training,11,10
1914,3,training,14,13
1916,3,training,11,10
1917,3,training,16,15
1918,3,training,14,13
1923,3,training,21,20
1925,3,training,16,15
1927,3,training,22,20
1930,3,training,23,22
1932,3,training,14,13
1933,3,training,22,21
1936,3,training,15,14
1938,3,training,12,11
1941,3,training,11,10
1942,3,training,13,11
1943,3,training,11,10
1954,3,training,13,12
1965,3,training,17,16
1972,3,training,14,13
1977,3,training,11,10
1978,3,training,19,18
1979,3,training,14,13
1980,3,training,18,17
1983,3,training,16,15
1984,3,training,15,14
1985,3,training,19,18
1986,3,training,15,14
1988,3,training,21,20
1989,3,training,14,13
1991,3,training,17,16
1992,3,training,18,17
1995,3,training,14,13
1996,3,training,15,14
1997,3,training,26,25
2000,3,training,15,14
2003,3,training,13,12
2004,3,training,13,12
2005,3,training,13,12
2006,3,training,11,10
2009,3,training,12,11
2010,3,training,12,11
2011,3,training,18,17
2012,3,training,14,13
2013,3,training,13,12
2014,3,training,18,17
2015,3,training,12,11
2016,3,training,16,14
2018,3,training,12,11
2021,3,training,17,16
2022,3,training,21,20
2024,3,training,14,13
2025,3,training,11,10
2027,3,training,14,13
2028,3,training,15,14
2029,3,training,15,14
2031,3,training,13,12
2040,3,training,13,12
2041,3,training,13,12
2053,3,training,11,10
2056,3,training,14,13
2065,3,training,14,13
2067,3,training,14,13
2069,3,training,12,11
2072,3,training,17,16
2077,3,training,11,10
2078,3,training,11,10
2085,3,training,15,14
2086,3,training,14,13
2090,4,training,14,13
2091,4,training,15,14
2092,4,training,16,15
2093,4,training,17,16
2094,4,training,15,14
2095,4,training,17,16
2096,4,training,21,20
2097,4,training,14,13
2100,4,training,18,17
2101,4,training,16,15
2102,4,training,19,18
2104,4,training,13,12
2106,4,training,13,12
2108,4,training,19,18
2110,4,training,13,12
2112,4,training,16,15
2113,4,training,15,14
2114,4,training,19,18
2116,4,training,19,18
2118,4,training,21,20
2119,4,training,15,14
2120,4,training,18,17
2121,4,training,18,17
2122,4,training,22,21
2123,4,training,11,10
2124,4,training,23,22
2125,4,training,17,16
2127,4,training,19,18
2128,4,training,15,14
2132,4,training,15,14
2138,4,training,16,15
2139,4,training,18,17
2144,4,training,16,15
2146,4,training,15,14
2147,4,training,11,10
2148,4,training,13,12
2150,4,training,22,21
2151,4,training,21,20
2152,4,training,15,14
2157,4,training,14,13
2162,4,training,13,12
2165,4,training,11,10
2166,4,training,14,13
2167,4,training,13,12
2173,4,training,12,11
2181,4,training,14,13
2183,4,training,11,10
2188,4,training,13,12
2194,4,training,15,14
2195,4,training,16,15
2196,4,training,15,14
2197,4,training,18,17
2198,4,training,15,14
2199,4,training,13,12
2200,4,training,15,14
2201,4,training,12,11
2202,4,training,15,14
2203,4,training,19,18
2204,4,training,20,19
2206,4,training,18,17
2207,4,training,17,16
2209,4,training,20,19
2210,4,training,17,16
2211,4,training,14,13
2212,4,training,16,15
2216,4,training,20,19
2219,4,training,13,12
2220,4,training,18,17
2221,4,training,18,17
2222,4,training,13,12
2225,4,training,18,17
2226,4,training,15,14
2228,4,training,11,10
2231,4,training,16,15
2234,4,training,18,17
2235,4,training,15,14
2236,4,training,13,12
2237,4,training,15,14
2242,4,training,11,10
2243,4,training,14,13
2246,4,training,12,11
2248,4,training,11,10
2250,4,training,14,13
2252,4,training,14,12
2254,4,training,11,10
2258,4,training,12,11
2259,4,training,21,20
2261,4,training,16,15
2269,4,training,14,13
2271,4,training,15,14
2276,4,training,11,10
2277,4,training,13,12
2302,4,training,11,10
2306,4,training,14,13
2308,4,training,20,19
2309,4,training,14,13
2311,4,training,17,16
2312,4,training,18,17
2313,4,training,17,16
2314,4,training,12,11
2316,4,training,17,16
2318,4,training,15,14
2319,4,training,23,22
2322,4,training,13,12
2323,4,training,13,12
2324,4,training,12,11
2326,4,training,13,12
2327,4,training,16,15
2328,4,training,13,12
2329,4,training,11,10
2330,4,training,12,11
2331,4,training,15,14
2332,4,training,11,10
2333,4,training,13,12
2335,4,training,13,12
2336,4,training,18,17
2339,4,training,14,13
2342,4,training,16,15
2344,4,training,15,14
2345,4,training,11,10
2346,4,training,13,12
2347,4,training,11,10
2348,4,training,16,15
2352,4,training,11,10
2355,4,training,14,13
2356,4,training,14,13
2359,4,training,17,16
2361,4,training,16,15
2369,4,training,12,10
2371,4,training,14,13
2378,4,training,16,15
2380,4,training,13,12
2383,4,training,15,14
2386,4,training,16,15
2411,4,training,14,13
2413,4,training,15,14
2445,4,training,15,14
2448,4,training,14,13
2455,4,training,21,20
2459,4,training,20,19
2467,4,training,18,17
2468,4,training,14,12
2469,4,training,11,10
2474,4,training,19,18
2476,4,training,20,19
2480,4,training,23,22
2481,4,training,14,13
2483,4,training,11,10
2489,4,training,12,11
2496,4,training,13,12
2513,4,training,12,10
2518,4,training,12,11
2519,4,training,14,13
2520,4,training,11,10
2523,4,training,12,11
2527,4,training,16,15
2529,4,training,12,11
2530,4,training,15,14
2531,4,training,17,16
2532,4,training,13,12
2533,4,training,16,15
2534,4,training,11,10
2535,4,training,17,16
2536,4,training,16,15
2537,4,training,13,12
2538,4,training,16,15
2539,4,training,12,11
2542,4,training,13,12
2544,4,training,14,13
2546,4,training,18,17
2547,4,training,15,14
2548,4,training,16,15
2549,4,training,11,10
2550,4,training,14,13
2551,4,training,14,13
2553,4,training,14,13
2555,4,training,12,11
2556,4,training,12,11
2557,4,training,14,13
2560,4,training,18,17
2562,4,training,13,12
2563,4,training,12,11
2565,4,training,17,16
2566,4,training,11,10
2567,4,training,18,17
2570,4,training,18,17
2573,4,training,18,17
2576,4,training,15,14
2577,4,training,12,11
2578,4,training,15,14
2581,4,training,14,12
2582,4,training,15,14
2583,4,training,11,10
2585,4,training,13,12
2593,4,training,17,16
2594,4,training,12,11
2595,4,training,11,10
2601,4,training,14,13
2602,4,training,18,17
2604,4,training,15,14
2612,4,training,13,11
2628,4,training,11,10
2634,4,training,11,10
2638,4,training,11,10
2639,4,training,13,12
2640,4,training,16,15
2642,5,training,12,11
2643,5,training,20,19
2644,5,training,11,10
2645,5,training,19,18
2646,5,training,16,15
2647,5,training,25,24
2648,5,training,16,15
2649,5,training,17,16
2650,5,training,12,11
2651,5,training,18,17
2652,5,training,19,18
2653,5,training,17,16
2654,5,training,15,14
2656,5,training,13,12
2657,5,training,18,17
2658,5,training,23,22
2660,5,training,16,15
2661,5,training,21,20
2662,5,training,15,14
2663,5,training,27,26
2664,5,training,18,17
2667,5,training,15,14
2668,5,training,15,14
2669,5,training,15,14
2670,5,training,13,12
2671,5,training,24,22
2672,5,training,16,15
2673,5,training,19,18
2674,5,training,22,21
2676,5,training,16,15
2678,5,training,16,15
2680,5,training,20,19
2682,5,training,12,10
2683,5,training,24,23
2684,5,training,16,15
2685,5,training,11,10
2686,5,training,16,15
2687,5,training,17,16
2690,5,training,15,14
2691,5,training,20,19
2694,5,training,16,15
2695,5,training,15,14
2699,5,training,20,19
2700,5,training,20,19
2701,5,training,14,13
2702,5,training,14,13
2703,5,training,18,17
2705,5,training,18,17
2706,5,training,23,22
2707,5,training,19,18
2708,5,training,15,14
2714,5,training,16,15
2716,5,training,11,10
2719,5,training,11,10
2726,5,training,13,11
2728,5,training,17,16
2731,5,training,13,12
2741,5,training,11,10
2744,5,training,11,10
2745,5,training,13,12
2747,5,training,12,11
2753,5,training,15,14
2754,5,training,15,14
2755,5,training,17,16
2756,5,training,17,16
2757,5,training,16,15
2758,5,training,13,12
2759,5,training,15,14
2760,5,training,18,17
2761,5,training,15,14
2762,5,training,13,12
2763,5,training,16,15
2764,5,training,15,14
2767,5,training,16,15
2768,5,training,20,19
2769,5,training,20,19
2773,5,training,15,14
2775,5,training,17,16
2776,5,training,16,15
2777,5,training,24,23
2781,5,training,19,18
2782,5,training,17,16
2783,5,training,15,14
2784,5,training,11,10
2786,5,training,13,12
2787,5,training,11,10
2793,5,training,15,14
2795,5,training,19,18
2796,5,training,12,11
2798,5,training,17,16
2802,5,training,17,16
2804,5,training,17,13
2812,5,training,24,23
2816,5,training,17,16
2817,5,training,16,15
2823,5,training,16,15
2825,5,training,13,11
2831,5,training,11,10
2834,5,training,16,15
2836,5,training,14,13
2855,5,training,11,10
2857,5,training,13,12
2859,5,training,13,12
2860,5,training,18,17
2861,5,training,16,15
2862,5,training,12,11
2863,5,training,19,18
2864,5,training,14,13
2865,5,training,19,18
2867,5,training,13,12
2868,5,training,11,10
2869,5,training,11,10
2870,5,training,17,16
2871,5,training,17,16
2872,5,training,22,21
2874,5,training,12,11
2875,5,training,18,17
2876,5,training,11,10
2877,5,training,17,16
2878,5,training,13,12
2879,5,training,15,14
2881,5,training,11,10
2882,5,training,11,10
2883,5,training,14,13
2885,5,training,15,14
2889,5,training,12,11
2892,5,training,13,12
2896,5,training,13,12
2898,5,training,14,13
2899,5,training,16,15
2900,5,training,12,11
2901,5,training,15,14
2903,5,training,11,10
2905,5,training,14,13
2906,5,training,18,17
2909,5,training,13,12
2910,5,training,11,10
2914,5,training,16,15
2920,5,training,12,11
2924,5,training,13,12
2936,5,training,13,12
2950,5,training,13,12
2952,5,training,14,13
2953,5,training,11,10
2955,5,training,14,13
2956,5,training,11,10
2957,5,training,13,12
2959,5,training,13,12
2960,5,training,13,12
2961,5,training,13,12
2962,5,training,18,17
2963,5,training,16,15
2964,5,training,21,20
2965,5,training,15,14
2966,5,training,16,15
2968,5,training,11,10
2969,5,training,12,11
2970,5,training,12,11
2971,5,training,12,11
2973,5,training,18,17
2975,5,training,19,18
2976,5,training,15,14
2977,5,training,12,11
2979,5,training,21,20
2984,5,training,15,14
2985,5,training,15,13
2986,5,training,18,17
2988,5,training,18,17
2990,5,training,13,12
2992,5,training,20,19
2996,5,training,16,15
2997,5,training,18,17
2998,5,training,20,19
2999,5,training,13,12
3004,5,training,20,18
3005,5,training,12,11
3008,5,training,11,10
3009,5,training,16,15
3012,5,training,11,10
3025,5,training,17,15
3030,5,training,14,12
3031,5,training,19,17
3047,5,training,12,11
3050,5,training,12,11
3053,5,training,13,12
3054,5,training,11,10
3055,5,training,14,13
3057,5,training,18,17
3058,5,training,11,10
3059,5,training,14,13
3060,5,training,15,14
3061,5,training,13,12
3062,5,training,13,12
3063,5,training,15,14
3064,5,training,11,10
3065,5,training,12,11
3068,5,training,14,13
3069,5,training,12,11
3070,5,training,12,11
3072,5,training,25,24
3073,5,training,11,10
3074,5,training,14,13
3075,5,training,17,16
3077,5,training,15,14
3079,5,training,14,13
3080,5,training,18,17
3082,5,training,21,20
3083,5,training,13,12
3086,5,training,11,10
3087,5,training,14,13
3088,5,training,20,19
3089,5,training,14,13
3090,5,training,17,16
3096,5,training,13,12
3097,5,training,18,17
3099,5,training,12,11
3100,5,training,12,11
3105,5,training,12,11
3107,5,training,20,19
3111,5,training,11,10
3117,5,training,13,12
3121,5,training,12,11
3136,5,training,11,10
3137,5,training,13,12
3143,5,training,11,10
3144,5,training,13,12
3150,5,training,11,10
3151,5,training,11,10
3153,5,training,11,10
3155,5,training,15,14
3156,5,training,14,13
3159,6,training,11,10
3160,6,training,11,10
3161,6,training,16,15
3162,6,training,19,18
3164,6,training,14,13
3167,6,training,16,15
3168,6,training,19,18
3169,6,training,20,19
3170,6,training,19,18
3172,6,training,24,23
3174,6,training,12,11
3176,6,training,12,11
3177,6,training,16,15
3178,6,training,15,14
3179,6,training,14,13
