route_id,route_week,row_count,delivery_stop_count,driver_id_count,country_count,week_id_count,duplicate_stop_id_rows,complete_planned_index,complete_actual_index,observed_delivery_arrival,manifest_anchor_minutes,route_duration_minutes,actual_arrival_span_minutes,negative_delivery_targets,planned_first_is_depot,actual_first_is_depot,eligible,failure_reasons,split
34,0,10,9,1,1,1,0,True,True,True,0.0,586.758,413.47300000000007,0,True,True,False,delivery_stops_lt_10,excluded
35,0,15,12,1,1,1,5,True,True,True,0.0,665.846,490.851,0,True,True,False,duplicate_route_stop_id,excluded
36,0,17,16,1,1,1,0,True,True,True,0.0,693.624,454.072,0,True,True,True,,training
37,0,17,16,1,1,1,0,True,True,True,0.0,525.54,276.611,0,True,True,True,,training
38,0,9,8,1,1,1,0,True,True,True,0.0,544.832,351.87,0,True,True,False,delivery_stops_lt_10,excluded
39,0,24,23,1,1,1,0,True,True,True,0.0,707.914,447.40999999999997,0,True,True,True,,training
40,0,14,13,1,1,1,0,True,True,True,0.0,690.343,488.917,0,True,True,True,,training
41,0,16,15,1,1,1,0,True,True,True,0.0,658.257,395.9359999999999,0,True,True,True,,training
42,0,18,17,1,1,1,0,True,True,True,0.0,650.277,382.50100000000003,0,True,True,True,,training
43,0,17,16,1,1,1,0,True,True,True,0.0,574.624,305.12600000000003,0,True,True,True,,training
44,0,4,2,1,1,1,2,True,True,True,0.0,307.871,215.55199999999996,0,True,True,False,delivery_stops_lt_10;duplicate_route_stop_id,excluded
45,0,10,9,1,1,1,0,True,True,True,0.0,584.743,367.20000000000005,0,True,True,False,delivery_stops_lt_10,excluded
46,0,12,11,1,1,1,0,True,True,True,0.0,546.419,259.931,0,True,True,True,,training
47,0,8,7,1,1,1,0,True,True,True,0.0,622.048,334.83,0,True,True,False,delivery_stops_lt_10,excluded
48,0,22,21,1,1,1,0,True,True,True,0.0,651.146,363.57399999999996,0,True,True,True,,training
49,0,8,7,1,1,1,0,True,True,True,0.0,941.509,770.807,0,True,True,False,delivery_stops_lt_10,excluded
50,0,19,16,1,1,1,4,True,True,True,0.0,1710.218,1471.7040000000002,0,True,True,False,duplicate_route_stop_id;route_duration_gt_16h,excluded
51,0,6,5,1,1,1,0,True,True,True,0.0,861.686,261.019,0,True,True,False,delivery_stops_lt_10,excluded
52,0,19,18,1,1,1,0,True,True,True,0.0,604.764,302.68600000000004,0,True,True,True,,training
53,0,17,16,1,1,1,0,True,True,True,0.0,780.886,478.49499999999995,0,True,True,True,,training
54,0,14,12,1,1,1,2,True,True,True,0.0,568.808,320.82399999999996,0,True,True,False,duplicate_route_stop_id,excluded
55,0,21,19,1,1,1,2,True,True,True,0.0,712.423,402.444,0,True,True,False,duplicate_route_stop_id,excluded
56,0,11,10,1,1,1,0,True,True,True,0.0,544.927,225.66700000000003,0,True,True,True,,training
57,0,5,4,1,1,1,0,True,True,True,0.0,483.696,220.24100000000004,0,True,True,False,delivery_stops_lt_10,excluded
58,0,11,10,1,1,1,0,True,True,True,0.0,689.928,425.377,0,True,True,True,,training
59,0,25,22,1,1,1,3,True,True,True,0.0,329.275,297.12699999999995,0,True,True,False,duplicate_route_stop_id,excluded
60,0,10,9,1,1,1,0,True,True,True,0.0,652.527,380.15100000000007,0,True,True,False,delivery_stops_lt_10,excluded
61,0,18,17,1,1,1,0,True,True,True,0.0,638.592,305.623,0,True,True,True,,training
62,0,15,14,1,1,1,0,True,True,True,0.0,765.412,488.74800000000005,0,True,True,True,,training
63,0,19,12,1,1,1,2,True,True,True,0.0,705.947,423.936,0,True,True,False,duplicate_route_stop_id,excluded
64,0,4,3,1,1,1,0,True,True,True,0.0,337.315,167.374,0,True,True,False,delivery_stops_lt_10,excluded
65,0,4,3,1,1,1,0,True,True,True,0.0,547.815,256.55800000000005,0,True,True,False,delivery_stops_lt_10,excluded
66,0,11,10,1,1,1,0,True,True,True,0.0,576.066,281.836,0,True,True,True,,training
67,0,17,16,1,1,1,0,True,True,True,0.0,892.73,528.769,0,True,True,True,,training
68,0,3,2,1,1,1,0,True,True,True,0.0,443.34,257.806,0,True,True,False,delivery_stops_lt_10,excluded
69,0,3,2,1,1,1,0,True,True,True,0.0,535.691,287.302,0,True,True,False,delivery_stops_lt_10,excluded
70,0,4,3,1,1,1,0,True,True,True,0.0,498.885,249.398,0,True,True,False,delivery_stops_lt_10,excluded
71,0,9,6,1,1,1,2,True,True,True,0.0,705.187,386.386,0,True,True,False,delivery_stops_lt_10;duplicate_route_stop_id,excluded
72,0,15,14,1,1,1,0,True,True,True,0.0,308.578,227.44299999999998,0,True,True,True,,training
73,0,5,4,1,1,1,0,True,True,True,0.0,504.928,241.62900000000002,0,True,True,False,delivery_stops_lt_10,excluded
74,0,10,8,1,1,1,2,True,True,True,0.0,692.873,368.63900000000007,0,True,True,False,delivery_stops_lt_10;duplicate_route_stop_id,excluded
75,0,15,13,1,1,1,2,True,True,True,0.0,331.509,242.75600000000003,0,True,True,False,duplicate_route_stop_id,excluded
76,0,3,2,1,1,1,0,True,True,True,0.0,853.731,519.327,0,True,True,False,delivery_stops_lt_10,excluded
77,0,6,5,1,1,1,0,True,True,True,0.0,592.87,314.65,0,True,True,False,delivery_stops_lt_10,excluded
78,0,12,11,1,1,1,0,True,True,True,0.0,809.142,466.84700000000004,0,True,True,True,,training
79,0,12,10,1,1,1,2,True,True,True,0.0,232.02,129.202,0,True,True,False,duplicate_route_stop_id,excluded
80,0,7,6,1,1,1,0,True,True,True,0.0,484.675,191.99400000000003,0,True,True,False,delivery_stops_lt_10,excluded
81,0,3,2,1,1,1,0,True,True,True,0.0,310.555,253.52800000000002,0,True,True,False,delivery_stops_lt_10,excluded
82,0,8,7,1,1,1,0,True,True,True,0.0,503.957,199.723,0,True,True,False,delivery_stops_lt_10,excluded
83,0,3,2,1,1,1,0,True,True,True,0.0,394.297,80.48200000000003,0,True,True,False,delivery_stops_lt_10,excluded
84,0,3,2,1,1,1,0,True,True,True,0.0,452.417,286.995,0,False,False,False,delivery_stops_lt_10,excluded
85,0,12,11,1,1,1,0,True,True,True,0.0,801.27,371.983,0,True,True,True,,training
86,0,3,2,1,1,1,0,True,True,True,0.0,550.919,0.0,0,True,True,False,delivery_stops_lt_10,excluded
87,0,10,9,1,1,1,0,True,True,True,0.0,884.29,390.722,0,True,True,False,delivery_stops_lt_10,excluded
88,0,9,8,1,1,1,0,True,True,True,0.0,850.135,235.41499999999996,0,True,True,False,delivery_stops_lt_10,excluded
89,0,6,1,1,1,1,0,True,True,True,0.0,985.11,361.932,0,False,False,False,delivery_stops_lt_10;route_duration_gt_16h,excluded
90,0,5,3,1,1,1,0,True,True,True,0.0,475.764,0.0,0,False,False,False,delivery_stops_lt_10,excluded
91,0,8,1,1,1,1,0,True,True,True,0.0,750.083,415.527,0,False,False,False,delivery_stops_lt_10,excluded
92,0,10,9,1,1,1,0,True,True,True,0.0,570.749,0.4070000000000391,0,True,True,False,delivery_stops_lt_10,excluded
93,0,8,6,1,1,1,0,True,True,True,0.0,575.652,0.37000000000000455,0,True,True,False,delivery_stops_lt_10,excluded
94,0,9,8,1,1,1,0,True,True,True,0.0,415.269,367.031,0,True,True,False,delivery_stops_lt_10,excluded
95,0,9,8,1,1,1,0,True,True,True,0.0,455.408,288.57000000000005,0,True,True,False,delivery_stops_lt_10,excluded
96,0,6,5,1,1,1,0,True,True,True,0.0,360.864,182.93399999999997,0,True,True,False,delivery_stops_lt_10,excluded
97,0,7,6,1,1,1,0,True,True,True,0.0,381.79,172.865,0,True,True,False,delivery_stops_lt_10,excluded
98,0,7,6,1,1,1,0,True,True,True,0.0,467.987,256.43000000000006,0,True,True,False,delivery_stops_lt_10,excluded
99,0,12,11,1,1,1,0,True,True,True,0.0,442.504,225.335,0,True,True,True,,training
100,0,5,4,1,1,1,0,True,True,True,0.0,368.421,145.959,0,True,True,False,delivery_stops_lt_10,excluded
101,0,8,7,1,1,1,0,True,True,True,0.0,451.466,221.763,0,True,True,False,delivery_stops_lt_10,excluded
102,0,11,10,1,1,1,0,True,True,True,0.0,435.15,197.97599999999997,0,True,True,True,,training
103,0,6,5,1,1,1,0,True,True,True,0.0,388.653,147.10600000000002,0,True,True,False,delivery_stops_lt_10,excluded
104,0,5,4,1,1,1,0,True,True,True,0.0,420.932,173.74,0,True,True,False,delivery_stops_lt_10,excluded
105,0,10,8,1,1,1,2,True,True,True,0.0,492.089,230.334,0,True,True,False,delivery_stops_lt_10;duplicate_route_stop_id,excluded
106,0,12,11,1,1,1,0,True,True,True,0.0,347.21,305.99699999999996,0,True,True,True,,training
107,0,16,15,1,1,1,0,True,True,True,0.0,668.114,552.772,0,True,True,True,,training
108,0,17,16,1,1,1,0,True,True,True,0.0,507.325,383.828,0,True,True,True,,training
109,0,12,11,1,1,1,0,True,True,True,0.0,596.154,405.986,0,True,True,True,,training
110,0,18,17,1,1,1,0,True,True,True,0.0,576.535,437.568,0,True,True,True,,training
111,0,13,12,1,1,1,0,True,True,True,0.0,581.808,431.071,0,True,True,True,,training
112,0,15,14,1,1,1,0,True,True,True,0.0,566.51,414.753,0,True,True,True,,training
113,0,14,13,1,1,1,0,True,True,True,0.0,500.576,346.895,0,True,True,True,,training
114,0,8,7,1,1,1,0,True,True,True,0.0,496.648,360.30400000000003,0,True,True,False,delivery_stops_lt_10,excluded
115,0,14,13,1,1,1,0,True,True,True,0.0,593.905,336.491,0,True,True,True,,training
116,0,8,5,1,1,1,2,True,True,True,0.0,529.799,440.61899999999997,0,True,True,False,delivery_stops_lt_10;duplicate_route_stop_id,excluded
117,0,13,11,1,1,1,2,True,True,True,0.0,575.981,365.695,0,True,True,False,duplicate_route_stop_id,excluded
118,0,16,15,1,1,1,0,True,True,True,0.0,568.459,351.28399999999993,0,True,True,True,,training
119,0,12,11,1,1,1,0,True,True,True,0.0,501.801,276.44399999999996,0,True,True,True,,training
120,0,23,22,1,1,1,0,True,True,True,0.0,494.702,265.419,0,True,True,True,,training
121,0,13,12,1,1,1,0,True,True,True,0.0,617.962,388.532,0,True,True,True,,training
122,0,14,13,1,1,1,0,True,True,True,0.0,696.567,462.254,0,True,True,True,,training
123,0,17,16,1,1,1,0,True,True,True,0.0,690.643,454.761,0,True,True,True,,training
124,0,7,6,1,1,1,0,True,True,True,0.0,483.436,306.602,0,True,True,False,delivery_stops_lt_10,excluded
125,0,10,7,1,1,1,2,True,True,True,0.0,585.623,406.2800000000001,0,True,True,False,delivery_stops_lt_10;duplicate_route_stop_id,excluded
126,0,11,10,1,1,1,0,True,True,True,0.0,476.729,237.03799999999998,0,True,True,True,,training
127,0,19,17,1,1,1,4,True,True,True,0.0,717.395,474.78,0,True,True,False,duplicate_route_stop_id,excluded
128,0,16,15,1,1,1,0,True,True,True,0.0,688.611,503.013,0,True,True,True,,training
129,0,13,10,1,1,1,2,True,True,True,0.0,637.21,449.55000000000007,0,True,True,False,duplicate_route_stop_id,excluded
130,0,14,13,1,1,1,0,True,True,True,0.0,625.66,376.889,0,True,True,True,,training
131,0,9,8,1,1,1,0,True,True,True,0.0,555.401,364.26,0,True,True,False,delivery_stops_lt_10,excluded
132,0,16,15,1,1,1,0,True,True,True,0.0,632.218,379.6379999999999,0,True,True,True,,training
133,0,3,2,1,1,1,0,True,True,True,0.0,308.947,232.934,0,True,True,False,delivery_stops_lt_10,excluded
134,0,11,8,1,1,1,3,True,True,True,0.0,718.38,462.126,0,True,True,False,delivery_stops_lt_10;duplicate_route_stop_id,excluded
135,0,12,11,1,1,1,0,True,True,True,0.0,664.117,466.62899999999996,0,True,True,True,,training
136,0,8,7,1,1,1,0,True,True,True,0.0,538.934,281.224,0,True,True,False,delivery_stops_lt_10,excluded
137,0,8,7,1,1,1,0,True,True,True,0.0,437.728,356.073,0,True,True,False,delivery_stops_lt_10,excluded
138,0,8,7,1,1,1,0,True,True,True,0.0,567.942,359.725,0,True,True,False,delivery_stops_lt_10,excluded
139,0,10,8,1,1,1,2,True,True,True,0.0,482.068,296.99199999999996,0,True,True,False,delivery_stops_lt_10;duplicate_route_stop_id,excluded
140,0,19,18,1,1,1,0,True,True,True,0.0,616.398,342.89300000000003,0,True,True,True,,training
141,0,12,10,1,1,1,4,True,True,True,0.0,671.683,337.33799999999997,0,True,True,False,duplicate_route_stop_id,excluded
142,0,17,15,1,1,1,2,True,True,True,0.0,676.119,396.141,0,True,True,False,duplicate_route_stop_id,excluded
143,0,9,8,1,1,1,0,True,True,True,0.0,548.335,267.16400000000004,0,True,True,False,delivery_stops_lt_10,excluded
144,0,9,8,1,1,1,0,True,True,True,0.0,511.834,290.64099999999996,0,True,True,False,delivery_stops_lt_10,excluded
145,0,12,11,1,1,1,0,True,True,True,0.0,579.307,232.27300000000002,0,True,True,True,,training
146,0,17,16,1,1,1,0,True,True,True,0.0,615.474,385.62700000000007,0,True,True,True,,training
147,0,13,12,1,1,1,0,True,True,True,0.0,672.869,440.168,0,True,True,True,,training
148,0,16,15,1,1,1,0,True,True,True,0.0,673.494,431.302,0,True,True,True,,training
149,0,9,8,1,1,1,0,True,True,True,0.0,578.209,276.01399999999995,0,True,True,False,delivery_stops_lt_10,excluded
150,0,14,13,1,1,1,0,True,True,True,0.0,512.725,267.333,0,True,True,True,,training
151,0,4,3,1,1,1,0,True,True,True,0.0,399.187,393.478,0,False,False,False,delivery_stops_lt_10,excluded
152,0,5,3,1,1,1,2,True,True,True,0.0,709.482,523.0999999999999,0,True,True,False,delivery_stops_lt_10;duplicate_route_stop_id,excluded
153,0,12,9,1,1,1,2,True,True,True,0.0,698.613,451.74000000000007,0,True,True,False,delivery_stops_lt_10;duplicate_route_stop_id,excluded
154,0,22,20,1,1,1,2,True,True,True,0.0,648.426,338.11600000000004,0,True,True,False,duplicate_route_stop_id,excluded
155,0,11,9,1,1,1,2,True,True,True,0.0,624.582,373.859,0,True,True,False,delivery_stops_lt_10;duplicate_route_stop_id,excluded
156,0,8,7,1,1,1,0,True,True,True,0.0,625.426,312.37300000000005,0,True,True,False,delivery_stops_lt_10,excluded
157,0,8,7,1,1,1,0,True,True,True,0.0,553.476,415.86199999999997,0,True,True,False,delivery_stops_lt_10,excluded
158,0,13,10,1,1,1,2,True,True,True,0.0,594.84,334.85900000000004,0,True,True,False,duplicate_route_stop_id,excluded
159,0,11,10,1,1,1,0,True,True,True,0.0,698.1,434.382,0,True,True,True,,training
160,0,8,6,1,1,1,0,True,True,True,0.0,416.73,272.529,0,True,False,False,delivery_stops_lt_10,excluded
161,0,11,10,1,1,1,0,True,True,True,0.0,607.533,281.331,0,True,True,True,,training
162,0,4,1,1,1,1,0,True,True,True,0.0,487.247,220.64100000000002,0,False,False,False,delivery_stops_lt_10,excluded
163,0,18,17,1,1,1,2,True,True,True,0.0,754.583,484.92499999999995,0,True,True,False,duplicate_route_stop_id,excluded
164,0,5,4,1,1,1,0,True,True,True,0.0,560.736,350.682,0,True,True,False,delivery_stops_lt_10,excluded
165,0,7,6,1,1,1,0,True,True,True,0.0,442.381,287.47299999999996,0,True,True,False,delivery_stops_lt_10,excluded
166,0,4,2,1,1,1,0,True,True,True,75.701,144.86,220.561,0,True,True,False,delivery_stops_lt_10,excluded
167,0,3,2,1,1,1,0,True,True,True,0.0,717.282,605.3910000000001,0,True,True,False,delivery_stops_lt_10,excluded
168,0,13,11,1,1,1,2,True,True,True,0.0,1778.915,1485.782,0,True,True,False,duplicate_route_stop_id;route_duration_gt_16h,excluded
169,0,4,3,1,1,1,0,True,True,True,0.0,703.592,470.1,0,True,True,False,delivery_stops_lt_10,excluded
170,0,4,3,1,1,1,0,True,True,True,0.0,462.116,225.53099999999998,0,True,True,False,delivery_stops_lt_10,excluded
171,0,17,14,1,1,1,0,True,True,True,0.0,827.779,530.533,0,True,True,True,,training
172,0,13,12,1,1,1,0,True,True,True,0.0,464.474,279.873,0,True,True,True,,training
173,0,6,4,1,1,1,0,True,True,True,0.0,734.397,481.0930000000001,0,True,True,False,delivery_stops_lt_10,excluded
174,0,3,2,1,1,1,0,True,True,True,0.0,398.489,139.52099999999996,0,True,True,False,delivery_stops_lt_10,excluded
175,0,7,5,1,1,1,2,True,True,True,0.0,595.932,333.005,0,True,True,False,delivery_stops_lt_10;duplicate_route_stop_id,excluded
176,0,5,4,1,1,1,0,True,True,True,0.0,569.267,298.08400000000006,0,True,True,False,delivery_stops_lt_10,excluded
177,0,4,3,1,1,1,0,True,True,True,0.0,467.957,125.86000000000001,0,True,True,False,delivery_stops_lt_10,excluded
178,0,11,10,1,1,1,0,True,True,True,0.0,893.659,547.062,0,True,True,True,,training
179,0,12,11,1,1,1,0,True,True,True,0.0,780.229,413.59900000000005,0,True,True,True,,training
180,0,7,5,1,1,1,0,True,True,True,0.0,617.567,292.604,0,False,True,False,delivery_stops_lt_10,excluded
181,0,6,1,1,1,1,0,True,True,True,0.0,665.022,204.97600000000006,0,False,False,False,delivery_stops_lt_10,excluded
182,0,3,1,1,1,1,2,True,True,True,0.0,238.862,63.155,0,True,True,False,delivery_stops_lt_10;duplicate_route_stop_id,excluded
183,0,3,2,1,1,1,0,True,True,True,0.0,449.651,132.70300000000003,0,True,True,False,delivery_stops_lt_10,excluded
184,0,6,5,1,1,1,0,True,True,True,0.0,707.721,155.827,0,True,True,False,delivery_stops_lt_10,excluded
185,0,11,10,1,1,1,0,True,True,True,0.0,1027.285,422.05700000000013,0,True,True,False,route_duration_gt_16h,excluded
186,0,6,4,1,1,1,0,True,True,True,0.0,468.093,0.0,0,False,False,False,delivery_stops_lt_10,excluded
187,0,5,3,1,1,1,0,True,True,True,0.0,468.109,0.0,0,False,False,False,delivery_stops_lt_10,excluded
188,0,16,15,1,1,1,0,True,True,True,0.0,694.249,235.007,0,True,True,True,,training
189,0,3,2,1,1,1,0,True,True,True,969.883,-969.145,0.738,2,True,True,False,delivery_stops_lt_10;nonpositive_route_duration,excluded
190,0,3,2,1,1,1,0,True,True,True,0.0,690.659,0.3170000000000073,0,True,True,False,delivery_stops_lt_10,excluded
191,0,4,3,1,1,1,0,True,True,True,0.0,645.277,0.1190000000000282,0,True,True,False,delivery_stops_lt_10,excluded
192,0,8,6,1,1,1,2,True,True,True,0.0,626.623,90.72300000000007,0,True,True,False,delivery_stops_lt_10;duplicate_route_stop_id,excluded
193,0,10,7,1,1,1,3,True,True,True,0.0,637.807,86.80100000000004,0,True,True,False,delivery_stops_lt_10;duplicate_route_stop_id,excluded
194,0,9,8,1,1,1,0,True,True,True,0.0,723.751,2.7509999999999764,0,True,True,False,delivery_stops_lt_10,excluded
195,0,7,2,1,1,1,2,True,True,True,0.0,957.555,115.17399999999998,0,False,False,False,delivery_stops_lt_10;duplicate_route_stop_id,excluded
196,0,6,5,1,1,1,0,True,True,True,0.0,267.885,166.557,0,True,True,False,delivery_stops_lt_10,excluded
197,0,5,4,1,1,1,0,True,True,True,0.0,372.475,198.41400000000002,0,True,True,False,delivery_stops_lt_10,excluded
198,0,15,14,1,1,1,0,True,True,True,0.0,527.659,351.18399999999997,0,True,True,True,,training
199,0,7,6,1,1,1,0,True,True,True,0.0,406.012,227.171,0,True,True,False,delivery_stops_lt_10,excluded
200,0,12,11,1,1,1,0,True,True,True,0.0,488.445,302.39099999999996,0,True,True,True,,training
201,0,13,12,1,1,1,0,True,True,True,0.0,502.785,271.26200000000006,0,True,True,True,,training
202,0,8,7,1,1,1,0,True,True,True,0.0,400.676,159.539,0,True,True,False,delivery_stops_lt_10,excluded
203,0,8,7,1,1,1,0,True,True,True,0.0,467.898,224.55,0,True,True,False,delivery_stops_lt_10,excluded
204,0,6,5,1,1,1,0,True,True,True,0.0,1050.1,801.0049999999999,0,True,True,False,delivery_stops_lt_10;route_duration_gt_16h,excluded
205,0,15,13,1,1,1,2,True,True,True,37.913,852.452,890.365,0,True,True,False,duplicate_route_stop_id,excluded
206,0,6,5,1,1,1,0,True,True,True,0.0,429.35,157.89800000000002,0,True,True,False,delivery_stops_lt_10,excluded
207,0,7,6,1,1,1,0,True,True,True,0.0,431.817,151.853,0,True,True,False,delivery_stops_lt_10,excluded
208,0,12,11,1,1,1,0,True,True,True,0.0,373.051,329.844,0,True,True,True,,training
209,0,5,4,1,1,1,0,True,True,True,0.0,386.927,97.97900000000004,0,True,True,False,delivery_stops_lt_10,excluded
210,0,14,12,1,1,1,2,True,True,True,0.0,638.361,565.683,0,True,True,False,duplicate_route_stop_id,excluded
211,0,15,14,1,1,1,0,True,True,True,0.0,524.386,409.989,0,True,True,True,,training
212,0,24,22,1,1,1,2,True,True,True,0.0,761.202,644.212,0,True,True,False,duplicate_route_stop_id,excluded
213,0,18,17,1,1,1,0,True,True,True,0.0,636.547,454.98800000000006,0,True,True,True,,training
214,0,12,11,1,1,1,0,True,True,True,0.0,501.219,370.625,0,True,True,True,,training
215,0,10,9,1,1,1,0,True,True,True,0.0,583.366,437.789,0,True,True,False,delivery_stops_lt_10,excluded
216,0,14,13,1,1,1,0,True,True,True,0.0,617.767,471.00000000000006,0,True,True,True,,training
217,0,15,14,1,1,1,0,True,True,True,0.0,623.57,473.29100000000005,0,True,True,True,,training
218,0,12,11,1,1,1,0,True,True,True,0.0,513.337,349.899,0,True,True,True,,training
219,0,14,13,1,1,1,0,True,True,True,0.0,498.372,312.249,0,True,True,True,,training
220,0,12,11,1,1,1,0,True,True,True,0.0,760.617,570.557,0,True,True,True,,training
221,0,15,14,1,1,1,2,True,True,True,0.0,537.354,403.40600000000006,0,True,True,False,duplicate_route_stop_id,excluded
222,0,10,9,1,1,1,0,True,True,True,0.0,489.322,288.91200000000003,0,True,True,False,delivery_stops_lt_10,excluded
223,0,5,4,1,1,1,0,True,True,True,0.0,420.072,398.433,0,True,True,False,delivery_stops_lt_10,excluded
224,0,9,8,1,1,1,0,True,True,True,0.0,501.885,291.998,0,True,True,False,delivery_stops_lt_10,excluded
225,0,8,7,1,1,1,0,True,True,True,0.0,777.97,619.0730000000001,0,True,True,False,delivery_stops_lt_10,excluded
226,0,16,14,1,1,1,2,True,True,True,0.0,851.025,628.278,0,True,True,False,duplicate_route_stop_id,excluded
227,0,6,2,1,1,1,4,True,True,True,0.0,635.947,471.949,0,True,True,False,delivery_stops_lt_10;duplicate_route_stop_id,excluded
228,0,9,8,1,1,1,0,True,True,True,0.0,484.964,257.32,0,True,True,False,delivery_stops_lt_10,excluded
229,0,16,14,1,1,1,2,True,True,True,0.0,659.69,484.7270000000001,0,True,True,False,duplicate_route_stop_id,excluded
230,0,16,13,1,1,1,2,True,True,True,0.0,674.191,496.26200000000006,0,True,True,False,duplicate_route_stop_id,excluded
231,0,12,11,1,1,1,0,True,True,True,0.0,478.298,300.09000000000003,0,True,True,True,,training
232,0,12,11,1,1,1,0,True,True,True,0.0,570.786,332.1289999999999,0,True,True,True,,training
233,0,23,22,1,1,1,0,True,True,True,0.0,449.567,206.566,0,True,True,True,,training
234,0,10,9,1,1,1,0,True,True,True,0.0,541.689,297.75699999999995,0,True,True,False,delivery_stops_lt_10,excluded
235,0,13,12,1,1,1,0,True,True,True,0.0,696.736,505.23,0,True,True,True,,training
236,0,21,20,1,1,1,0,True,True,True,0.0,843.566,650.0160000000001,0,True,True,True,,training
237,0,7,6,1,1,1,0,True,True,True,0.0,491.256,236.23899999999998,0,True,True,False,delivery_stops_lt_10,excluded
238,0,21,20,1,1,1,0,True,True,True,0.0,688.403,433.062,0,True,True,True,,training
239,0,9,8,1,1,1,0,True,True,True,0.0,490.372,354.347,0,True,True,False,delivery_stops_lt_10,excluded
240,0,17,16,1,1,1,0,True,True,True,0.0,719.822,461.109,0,True,True,True,,training
241,0,6,5,1,1,1,0,True,True,True,0.0,411.051,330.64799999999997,0,True,True,False,delivery_stops_lt_10,excluded
242,0,5,4,1,1,1,0,True,True,True,0.0,515.114,312.857,0,True,True,False,delivery_stops_lt_10,excluded
